Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1179-1	1179-1.bam	Conventional base calls	Sanger / Illumina 1.9	179056715.0	0.0	76.0	49.0	64.03645215297755	76.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	pass	pass
1211-1	1211-1.bam	Conventional base calls	Sanger / Illumina 1.9	381837666.0	0.0	76.0	49.0	54.58386382589675	76.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	pass	pass
1258-1	1258-1.bam	Conventional base calls	Sanger / Illumina 1.9	411949605.0	0.0	76.0	50.0	53.01990220725465	76.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	pass	pass
126BG_CB_M1	126BG_CB_M1.bam	Conventional base calls	Sanger / Illumina 1.9	120209409.0	0.0	76.0	51.0	53.214854510816124	76.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
146BO_JB_M1	146BO_JB_M1.bam	Conventional base calls	Sanger / Illumina 1.9	108497179.0	0.0	76.0	51.0	50.647277584016614	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
149BP_AB_M1	149BP_AB_M1.bam	Conventional base calls	Sanger / Illumina 1.9	259015819.0	0.0	76.0	50.0	33.32725128787931	76.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
153BR_JB_M1	153BR_JB_M1.bam	Conventional base calls	Sanger / Illumina 1.9	129835716.0	0.0	76.0	51.0	51.802889646282466	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
163BV_JE_M1	163BV_JE_M1.bam	Conventional base calls	Sanger / Illumina 1.9	113282647.0	0.0	76.0	51.0	49.995501410856285	76.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
164BW_KC_M1	164BW_KC_M1.bam	Conventional base calls	Sanger / Illumina 1.9	129921967.0	0.0	76.0	51.0	51.028290328929316	76.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
167BZ_SP_M1	167BZ_SP_M1.bam	Conventional base calls	Sanger / Illumina 1.9	133645376.0	0.0	76.0	50.0	37.050104982891426	76.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
